,employee_id,territory_id
0,1,06897
1,1,19713
2,2,01581
3,2,01730
4,2,01833
5,2,02116
6,2,02139
7,2,02184
8,2,40222
9,3,30346
10,3,31406
11,3,32859
12,3,33607
13,4,20852
14,4,27403
15,4,27511
16,5,02903
17,5,07960
18,5,08837
19,5,10019
20,5,10038
21,5,11747
22,5,14450
23,6,85014
24,6,85251
25,6,98004
26,6,98052
27,6,98104
28,7,60179
29,7,60601
30,7,80202
31,7,80909
32,7,90405
33,7,94025
34,7,94105
35,7,95008
36,7,95054
37,7,95060
38,8,19428
39,8,44122
40,8,45839
41,8,53404
42,9,03049
43,9,03801
44,9,48075
45,9,48084
46,9,48304
47,9,55113
48,9,55439
